version,symbol,datetime,avgPrice,executedQty,origQty,side,action,num,position,net_pos,delta_p,pl,profit,equity,nav,is_mark_to_market
aggressive,BTCUSDC,20260204 13:51:49,76190.7973,0.600,0.600,SELL,-1,-0.3,-0.3,0.0,0.0,0.0,0.0,7000.0,1.0,False
aggressive,BTCUSDC,20260208 10:30:01,69376.4178,0.600,0.600,BUY,1,0.6,0.3,-0.3,-6814.37950000001,2044.313850000003,2044.313850000003,9044.313850000002,1.292044835714286,False
aggressive,BTCUSDC,20260212 10:30:04,67400.3997,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1976.0181000000011,-592.8054300000003,1451.5084200000026,8451.508420000002,1.207358345714286,False
aggressive,BTCUSDC,20260214 10:30:04,68838.6565,0.600,0.600,BUY,1,0.6,0.3,-0.3,1438.2568000000028,-431.47704000000084,1020.0313800000017,8020.031380000002,1.145718768571429,False
aggressive,BTCUSDC,20260219 10:30:04,66884.199,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1954.457500000004,-586.3372500000012,433.69413000000054,7433.694130000001,1.0619563042857143,False
aggressive,BTCUSDC,20260221 10:30:04,68012.4945,0.600,0.600,BUY,1,0.6,0.3,-0.3,1128.2955000000075,-338.4886500000022,95.20547999999832,7095.205479999999,1.0136007828571427,False
aggressive,BTCUSDC,20260224 10:30:04,64266.1957,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-3746.298800000004,-1123.8896400000012,-1028.684160000003,5971.3158399999975,0.8530451199999997,False
aggressive,BTCUSDC,20260225 10:30:04,66062.46,0.600,0.600,BUY,1,0.6,0.3,-0.3,1796.2643000000098,-538.8792900000029,-1567.563450000006,5432.436549999994,0.7760623642857134,False
aggressive,BTCUSDC,20260227 10:30:04,67373.8242,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,1311.3641999999963,393.4092599999989,-1174.154190000007,5825.845809999993,0.8322636871428563,False
aggressive,BTCUSDC,20260228 10:30:00,65883.6418,0.600,0.600,BUY,1,0.6,0.3,-0.3,-1490.1824000000051,447.0547200000015,-727.0994700000056,6272.900529999994,0.8961286471428563,False
aggressive,BTCUSDC,20260304 11:30:00,67949.9577,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,2066.3159000000014,619.8947700000004,-107.20470000000512,6892.795299999995,0.9846850428571422,False
aggressive,BTCUSDC,20260305 11:30:01,72524.3405,0.600,0.600,BUY,1,0.6,0.3,-0.3,4574.382800000007,-1372.314840000002,-1479.519540000007,5520.480459999993,0.7886400657142848,False
